iter	Passed	Remaining
1045	76817	15569
1046	76888	15495
1047	76962	15421
1048	77042	15349
1049	77111	15275
1050	77175	15200
1051	77240	15125
1052	77307	15050
1053	77374	14975
1054	77438	14900
1055	77509	14826
1056	77579	14752
1057	77647	14678
1058	77715	14603
1059	77786	14529
1060	77857	14456
1061	77932	14383
1062	77996	14307
1063	78066	14233
1064	78139	14160
1065	78204	14085
1066	78276	14012
1067	78350	13938
1068	78420	13864
1069	78485	13789
1070	78550	13715
1071	78617	13640
1072	78685	13566
1073	78751	13491
1074	78816	13417
1075	78885	13343
1076	78947	13267
1077	79016	13193
1078	79090	13120
1079	79157	13046
1080	79225	12972
1081	79289	12897
1082	79354	12822
1083	79429	12749
1084	79501	12676
1085	79580	12603
1086	79655	12530
1087	79728	12457
1088	79796	12383
1089	79868	12309
1090	79934	12235
1091	80006	12162
1092	80076	12088
1093	80144	12014
1094	80212	11940
1095	80278	11866
1096	80346	11792
1097	80413	11717
1098	80481	11643
1099	80541	11568
1100	80604	11494
1101	80665	11419
1102	80726	11344
1103	80792	11269
1104	80860	11196
1105	80926	11121
1106	80993	11047
1107	81064	10974
1108	81135	10900
1109	81208	10827
1110	81289	10755
1111	81360	10682
1112	81433	10609
1113	81507	10535
1114	81581	10462
1115	81655	10389
1116	81729	10316
1117	81801	10243
1118	81863	10168
1119	81926	10094
1120	81992	10020
1121	82056	9946
1122	82120	9872
1123	82186	9798
1124	82254	9724
1125	82316	9649
1126	82386	9576
1127	82451	9502
1128	82514	9428
1129	82577	9353
1130	82640	9279
1131	82703	9205
1132	82765	9131
1133	82838	9058
1134	82948	8989
1135	83032	8917
1136	83110	8844
1137	83198	8773
1138	83294	8702
1139	83375	8630
1140	83454	8557
1141	83538	8485
1142	83615	8412
1143	83691	8339
1144	83769	8267
1145	83842	8194
1146	83915	8120
1147	83990	8047
1148	84065	7974
1149	84141	7901
1150	84215	7828
1151	84294	7756
1152	84377	7684
1153	84448	7610
1154	84526	7537
1155	84604	7465
1156	84681	7392
1157	84747	7318
1158	84824	7245
1159	84906	7173
1160	84986	7100
1161	85063	7027
1162	85139	6954
1163	85220	6882
1164	85302	6809
1165	85381	6736
1166	85456	6663
1167	85544	6591
1168	85624	6518
1169	85704	6446
1170	85792	6373
1171	85869	6301
1172	85946	6228
1173	86023	6154
1174	86098	6081
1175	86179	6009
1176	86257	5936
1177	86329	5862
1178	86409	5789
1179	86494	5717
1180	86573	5644
1181	86651	5571
1182	86737	5498
1183	86813	5425
1184	86887	5352
1185	86966	5279
1186	87042	5206
1187	87117	5133
1188	87199	5060
1189	87281	4987
1190	87360	4914
1191	87440	4841
1192	87521	4768
1193	87596	4695
1194	87660	4621
1195	87727	4547
1196	87799	4474
1197	87868	4400
1198	87939	4327
1199	88009	4253
1200	88075	4180
1201	88143	4106
1202	88227	4033
1203	88309	3960
1204	88392	3887
1205	88471	3814
1206	88555	3741
1207	88620	3668
1208	88685	3594
1209	88755	3520
1210	88835	3447
1211	88905	3374
1212	88972	3300
1213	89040	3227
1214	89109	3153
1215	89175	3080
1216	89248	3006
1217	89319	2933
1218	89389	2859
1219	89472	2786
1220	89553	2713
1221	89620	2640
1222	89698	2566
1223	89769	2493
1224	89837	2420
1225	89908	2346
1226	89992	2273
1227	90058	2200
1228	90123	2126
1229	90190	2053
1230	90255	1979
1231	90319	1906
